List of Haircut
Date Uploaded: 20200630
Date|Instrument Code|Instrument Name|Haircut (%)|Keterangan|
20200630|BTEK|Bumi Teknokultura Unggul Tbk|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BTEL|Bakrie Telecom Tbk.|100|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BTON|Betonjaya Manunggal Tbk.|55|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BTPN|Bank BTPN Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BTPS|Bank Tabungan Pensiunan Nasional Syariah Tbk.|35|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BUDI|Budi Starch & Sweetener Tbk.|25|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BUKK|Bukaka Teknik Utama Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BULL|Buana Lintas Lautan Tbk.|25|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BUMI|Bumi Resources Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BUVA|Bukit Uluwatu Villa Tbk.|50|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BVIC|Bank Victoria International Tbk.|55|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BWPT|Eagle High Plantations Tbk.|25|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BYAN|Bayan Resources Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CAKK|Cahayaputra Asa Keramik Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CAMP|Campina Ice Cream Industry Tbk.|45|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CANI|Capitol Nusantara Indonesia Tbk.|100|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CARE|PT Metro Healthcare Indonesia Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CARS|Industri dan Perdagangan Bintraco Dharma Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CASA|Capital Financial Indonesia Tbk.|55|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CASH|PT Cashlez Worldwide Indonesia Tbk.|100|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CASS|Cardig Aero Services Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CBMF|PT Cahaya Bintang Medan Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CCSI|Communication Cable Systems Indonesia Tbk.|20|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CEKA|Wilmar Cahaya Indonesia Tbk.|35|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CENT|Centratama Telekomunikasi Indonesia Tbk.|40|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CFIN|Clipan Finance Indonesia Tbk.|15|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CINT|Chitose Internasional Tbk.|15|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CITA|Cita Mineral Investindo Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CITY|Natura City Developments Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CKRA|Cakra Mineral Tbk.|100|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CLAY|Citra Putra Realty Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CLEO|Sariguna Primatirta Tbk.|15|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CLPI|Colorpak Indonesia Tbk.|25|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CMNP|Citra Marga Nusaphala Persada Tbk.|45|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CMPP|AirAsia Indonesia Tbk.|100|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CNKO|Exploitasi Energi Indonesia Tbk.|100|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CNTB|Saham Seri B ( Centex Tbk )|100|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CNTX|Century Textile Industry Tbk.|100|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|COCO|Wahana Interfood Nusantara Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
